NEEDLES,NN2
IN,PRP
HAY,NP0
IS,VBZ
IT,NN1
ART,NN1
CRITICISM,NN1
QUESTIONS,NN2
What,DTQ
is,VBZ
art,NN1
Leo,NP0
Tolstoy,NP0
asked,VVD
the,AT0
question,NN1
and,CJC
in,PRP
his,DPS
remarkable,AJ0
book,NN1
with,PRP
that,DT0
title,NN1
gave,VVD
his,DPS
reply,NN1
He,PNP
underlined,VVD
the,AT0
need,NN1
for,PRP
art,NN1
to,TO0
communicate,VVI
what,DTQ
the,AT0
artist,NN1
has,VHZ
felt,VVN
Art,NN1
is,VBZ
a,AT0
human,AJ0
activity,NN1
consisting,VVG
in,PRP
this,DT0
that,CJT-DT0
man,NN1
consciously,AV0
by,PRP
means,NN0
of,PRF
certain,AJ0
external,AJ0
signs,NN2
hands,NN2
on,AVP
to,PRP
others,NN2
feelings,NN2
he,PNP
has,VHZ
lived,VVN
through,AVP-PRP
and,CJC
that,CJT
others,NN2
are,VBB
infected,VVN
by,PRP
these,DT0
feelings,NN2
and,CJC
also,AV0
experience,VVB
them,PNP
Art,NN1
is,VBZ
not,XX0
as,CJS-PRP
the,AT0
metaphysicians,NN2
say,VVB
the,AT0
manifestation,NN1
of,PRF
some,DT0
Idea,NN1
of,PRF
beauty,NN1
or,CJC
God,NP0
it,PNP
is,VBZ
not,XX0
as,CJS-PRP
the,AT0
aesthetic,AJ0
physiologists,NN2
say,VVB
a,AT0
game,NN1
in,PRP
which,DTQ
man,NN1
lets,VVZ
off,AVP-PRP
his,DPS
excess,NN1
of,PRF
energy,NN1
it,PNP
is,VBZ
not,XX0
the,AT0
expression,NN1
of,PRF
man,NN1
emotions,NN2
by,PRP
external,AJ0
signs,NN2
it,PNP
is,VBZ
not,XX0
the,AT0
production,NN1
of,PRF
pleasing,AJ0
objects,NN2
and,CJC
above,PRP
all,DT0
it,PNP
is,VBZ
not,XX0
pleasure,NN1
but,CJC
it,PNP
is,VBZ
a,AT0
means,NN0
of,PRF
union,NN1
among,PRP
men,NN2
joining,VVG
them,PNP
together,AV0
in,PRP
the,AT0
same,DT0
feelings,NN2
and,CJC
indispensable,AJ0
for,PRP
the,AT0
life,NN1
and,CJC
progress,NN1-VVB
towards,PRP
wellbeing,NN1
of,PRF
individuals,NN2
and,CJC
humanity,NN1
There,EX0
are,VBB
many,DT0
more,DT0
definitions,NN2
of,PRF
art,NN1
besides,PRP
Tolstoy,NP0
own,DT0
and,CJC
those,DT0
which,DTQ
he,PNP
denounced,VVD
For,PRP
the,AT0
purposes,NN2
of,PRF
this,DT0
book,NN1
just,AV0
assertions,NN2
will,VM0
have,VHI
to,PRP
content,NN1
us,PNP
first,ORD
some,DT0
works,NN0
have,VHB
been,VBN
intended,VVN
by,PRP
their,DPS
makers,NN2
to,TO0
be,VBI
seen,VVN
as,PRP
art,NN1
second,ORD
there,EX0
is,VBZ
a,AT0
consensus,NN1
today,AV0
that,CJT-DT0
other,AJ0
works,NN0
are,VBB
to,TO0
be,VBI
described,VVN
as,PRP
art,NN1
Since,CJS
art,NN1
critics,NN2
have,VHB
these,DT0
working,AJ0
assumptions,NN2
in,PRP
mind,NN1
and,CJC
it,PNP
is,VBZ
with,PRP
their,DPS
writing,NN1
we,PNP
shall,VM0
be,VBI
mainly,AV0
concerned,AJ0
we,PNP
need,VVB
to,TO0
proceed,VVI
without,PRP
being,VBG
distracted,VVN
We,PNP
shall,VM0
not,XX0
look,VVI
into,PRP
the,AT0
myriad,NN1
issues,NN2
springing,VVG
from,PRP
problems,NN2
of,PRF
definition,NN1
which,DTQ
are,VBB
vital,AJ0
for,PRP
philosophers,NN2
and,CJC
aestheticians,NN2
Is,VBZ
it,PNP
criticism,NN1
There,EX0
is,VBZ
a,AT0
massive,AJ0
amount,NN1
of,PRF
writing,VVG-NN1
about,PRP
art,NN1
only,AV0
some,DT0
of,PRF
which,DTQ
can,VM0
immediately,AV0
be,VBI
identified,VVN
by,PRP
a,AT0
reader,NN1
as,PRP
criticism,NN1
Writing,VVG-NN1
by,PRP
the,AT0
art,NN1
critic,NN1
of,PRF
a,AT0
newspaper,NN1
is,VBZ
criticism,NN1
in,PRP
parallel,NN1-AJ0
with,PRP
the,AT0
writing,NN1
of,PRF
music,NN1
and,CJC
theatre,NN1
critics,NN2
an,AT0
exhibition,NN1
can,VM0
be,VBI
treated,VVN
almost,AV0
in,PRP
the,AT0
same,DT0
way,NN1
as,CJS
a,AT0
performance,NN1
Articles,NN2
in,PRP
magazines,NN2
are,VBB
less,AV0
certainly,AV0
described,VVN
as,CJS-PRP
criticism,NN1
for,CJS
their,DPS
main,AJ0
topics,NN2
may,VM0
be,VBI
personalities,NN2
or,CJC
history,NN1
and,CJC
art,NN1
may,VM0
be,VBI
only,AV0
a,AT0
small,AJ0
part,NN1
of,PRF
the,AT0
writers,NN2
account,NN1
Books,NN2
and,CJC
catalogues,NN2
may,VM0
contain,VVI
criticism,NN1
but,CJC
their,DPS
writers,NN2
may,VM0
think,VVI
of,PRF
themselves,PNX
as,PRP
art,NN1
historians,NN2
philosophers,NN2
aestheticians,NN2
anthropologists,NN2
historians,NN2
or,CJC
biographers,NN2
and,CJC
there,EX0
are,VBB
many,DT0
other,AJ0
possibilities,NN2
their,DPS
books,NN2
may,VM0
never,AV0
be,VBI
identified,VVN
as,PRP
art,NN1
criticism,NN1
As,CJS
the,AT0
following,AJ0
chapters,NN2
will,VM0
show,VVI
the,AT0
useful,AJ0
and,CJC
helpful,AJ0
functions,NN2
of,PRF
art,NN1
criticism,NN1
will,VM0
receive,VVI
preference,NN1
in,PRP
the,AT0
choice,NN1
of,PRF
what,DTQ
is,VBZ
quoted,VVN
or,CJC
discussed,VVN
Is,VBZ
the,AT0
text,NN1
or,CJC
part,NN1
of,PRF
the,AT0
text,NN1
written,VVN
so,AV0
that,CJT
a,AT0
reader,NN1
will,VM0
benefit,VVI
in,PRP-AVP
a,AT0
future,AJ0
encounter,NN1
with,PRP
a,AT0
work,NN1
of,PRF
